investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status,cohort_year,gap_days
INV000001,2025-01-14,148569,Lumpsum,189483,Haryana,Gurugram,T30,36-45,Male,19.9,UPI,Verified,2025,71.0
INV000002,2024-07-14,149323,Lumpsum,153187,Maharashtra,Pune,T30,46-55,Male,24.0,UPI,Verified,2024,107.0
INV000002,2024-09-21,120841,SIP,2354,Maharashtra,Pune,T30,46-55,Male,24.0,Mandate,Verified,2024,69.0
INV000002,2025-01-23,118632,Lumpsum,317170,Maharashtra,Pune,T30,46-55,Male,24.0,Mandate,Verified,2025,112.0
INV000002,2025-05-17,119094,SIP,2690,Maharashtra,Pune,T30,46-55,Male,24.0,Cheque,Verified,2025,114.0
INV000003,2025-03-11,149322,SIP,15185,Gujarat,Ahmedabad,T30,26-35,Female,10.6,Mandate,Verified,2025,238.0
INV000004,2024-07-07,148569,SIP,9761,Punjab,Chandigarh,T30,26-35,Male,20.0,UPI,Verified,2024,59.0
INV000004,2025-03-29,149324,SIP,14282,Punjab,Chandigarh,T30,26-35,Male,20.0,Mandate,Verified,2025,265.0
INV000004,2025-05-17,119599,SIP,2110,Punjab,Chandigarh,T30,26-35,Male,20.0,UPI,Verified,2025,49.0
INV000005,2024-08-27,118635,Lumpsum,201354,Punjab,Amritsar,B30,26-35,Female,10.4,Mandate,Verified,2024,122.0
INV000005,2025-04-26,119095,Lumpsum,312113,Punjab,Amritsar,B30,26-35,Female,10.4,Mandate,Verified,2025,167.0
INV000006,2024-06-06,100033,SIP,1059,Madhya Pradesh,Bhopal,B30,46-55,Female,43.0,Cheque,Pending,2024,120.0
INV000006,2025-03-28,120505,SIP,27564,Madhya Pradesh,Bhopal,B30,46-55,Female,43.0,UPI,Verified,2025,295.0
INV000006,2025-05-11,148568,SIP,2925,Madhya Pradesh,Bhopal,B30,46-55,Female,43.0,UPI,Verified,2025,44.0
INV000007,2024-05-19,118632,SIP,1906,Uttar Pradesh,Kanpur,B30,26-35,Male,21.9,UPI,Verified,2024,137.0
INV000007,2024-11-25,120843,SIP,14263,Uttar Pradesh,Kanpur,B30,26-35,Male,21.9,Net Banking,Pending,2024,177.0
INV000007,2025-02-24,118632,SIP,2856,Uttar Pradesh,Kanpur,B30,26-35,Male,21.9,UPI,Verified,2025,91.0
INV000008,2024-08-20,118632,Lumpsum,446342,Punjab,Amritsar,B30,26-35,Female,18.6,UPI,Verified,2024,58.0
INV000008,2024-12-05,100025,SIP,425,Punjab,Amritsar,B30,26-35,Female,18.6,UPI,Verified,2024,107.0
INV000008,2025-01-18,119552,SIP,458,Punjab,Amritsar,B30,26-35,Female,18.6,Cheque,Verified,2025,44.0
INV000008,2025-03-30,125497,Lumpsum,429784,Punjab,Amritsar,B30,26-35,Female,18.6,Net Banking,Verified,2025,47.0
INV000008,2025-05-14,148567,SIP,5253,Punjab,Amritsar,B30,26-35,Female,18.6,UPI,Verified,2025,45.0
INV000009,2024-02-20,119093,SIP,28650,Haryana,Gurugram,T30,26-35,Male,17.1,Cheque,Verified,2024,41.0
INV000009,2024-05-20,149324,SIP,53617,Haryana,Gurugram,T30,26-35,Male,17.1,UPI,Verified,2024,90.0
INV000009,2024-10-29,148569,SIP,3591,Haryana,Gurugram,T30,26-35,Male,17.1,UPI,Pending,2024,162.0
INV000009,2024-12-26,118635,Lumpsum,131029,Haryana,Gurugram,T30,26-35,Male,17.1,Net Banking,Verified,2024,54.0
INV000009,2025-05-09,101207,Lumpsum,131308,Haryana,Gurugram,T30,26-35,Male,17.1,UPI,Verified,2025,134.0
INV000010,2024-08-28,119598,SIP,8464,Maharashtra,Pune,T30,36-45,Male,13.6,Net Banking,Verified,2024,121.0
INV000010,2024-10-06,148567,Redemption,199242,Maharashtra,Pune,T30,36-45,Male,13.6,Net Banking,Verified,2024,39.0
INV000010,2024-12-01,120844,SIP,2471,Maharashtra,Pune,T30,36-45,Male,13.6,Net Banking,Verified,2024,49.0
INV000011,2024-03-03,102887,SIP,59280,West Bengal,Kolkata,T30,26-35,Male,9.6,Cheque,Verified,2024,41.0
INV000011,2024-06-27,100025,Redemption,259480,West Bengal,Kolkata,T30,26-35,Male,9.6,UPI,Verified,2024,77.0
INV000011,2024-08-14,120844,SIP,980,West Bengal,Kolkata,T30,26-35,Male,9.6,UPI,Verified,2024,48.0
INV000011,2024-11-28,120841,Lumpsum,33539,West Bengal,Kolkata,T30,26-35,Male,9.6,Cheque,Pending,2024,89.0
INV000011,2025-03-30,119095,Lumpsum,284305,West Bengal,Kolkata,T30,26-35,Male,9.6,UPI,Verified,2025,122.0
INV000012,2024-08-17,148569,SIP,2125,Uttar Pradesh,Kanpur,B30,46-55,Male,51.6,UPI,Verified,2024,104.0
